[header]
width=24
height=24
tilewidth=32
tileheight=32
orientation=orthogonal

[tilesets]
tileset=../tileset.png,32,32,0,0

[layer]
type=Tile Layer 1
data=
1,1,1,31,30,31,31,30,31,31,31,31,30,31,30,31,31,30,31,31,30,30,30,31,
1,1,1,1,1,1,1,1,1,1,1,4,5,4,4,5,3,5,3,5,5,3,5,30,
1,1,1,1,1,1,1,1,1,1,1,5,4,3,4,5,4,4,1,1,5,3,5,30,
30,1,1,1,1,1,1,1,1,1,3,4,5,5,3,4,3,7,1,1,4,5,7,31,
31,1,1,1,1,1,1,1,1,5,3,5,5,1,4,4,5,4,4,3,3,4,3,31,
30,1,1,1,1,1,1,1,4,4,3,7,5,4,3,4,4,4,4,3,4,4,5,31,
30,1,1,1,1,1,1,4,6,5,3,5,3,4,5,5,5,5,5,5,5,6,5,30,
30,1,1,1,3,4,4,3,3,5,3,3,4,5,4,4,3,5,4,4,4,7,6,31,
31,1,1,1,4,5,3,4,5,3,3,5,3,3,5,7,5,5,5,6,6,6,6,31,
31,1,3,3,5,3,5,4,4,3,5,3,1,1,1,1,5,3,5,7,7,6,6,30,
31,3,3,3,5,1,1,5,3,4,4,5,1,1,1,1,7,6,7,7,7,7,7,30,
30,5,5,5,5,1,1,5,7,3,5,7,5,5,1,1,7,6,6,6,7,7,7,11,
31,4,3,3,3,4,4,4,7,4,5,6,5,4,7,7,7,6,6,7,6,6,9,9,
31,3,3,5,4,5,4,4,4,5,3,4,3,6,6,6,6,7,10,6,6,9,10,10,
31,4,3,3,3,3,3,6,3,4,4,4,7,7,7,7,6,7,10,9,9,10,11,10,
30,1,1,1,1,1,7,7,4,7,6,7,7,6,7,7,6,9,10,11,9,10,9,10,
30,1,1,1,1,1,3,3,3,5,7,7,7,6,6,7,11,10,10,11,9,11,9,10,
31,1,1,1,1,5,3,3,5,5,5,1,7,7,6,6,11,11,11,11,11,10,11,9,
30,1,1,1,1,4,3,4,4,4,5,7,7,6,6,9,9,10,11,9,10,9,11,9,
30,1,1,1,5,4,3,7,5,3,3,7,6,6,9,10,11,11,11,11,10,10,9,10,
30,1,1,5,5,4,4,3,5,4,3,7,7,7,11,10,11,10,9,9,9,10,11,11,
31,1,1,1,1,1,1,1,3,4,3,7,6,7,9,9,10,10,10,10,9,11,10,9,
31,1,1,1,1,1,1,1,4,4,5,6,6,6,11,11,10,11,9,9,10,9,10,9,
31,31,30,30,30,31,31,31,31,30,31,30,31,11,11,10,9,11,10,10,11,11,11,10

